id,taxon,cover
Xixon07,Luzula campestris,1
Xixon07,Medicago lupulina,1
Xixon07,Oenanthe crocata,0.1
Xixon07,Ophrys apifera,2
Xixon07,Pimpinella saxifraga,0.1
Xixon07,Plantago lanceolata,2
Xixon07,Prunella vulgaris,1
Xixon07,Ranunculus bulbosus,2
Xixon07,Rhinanthus angustifolius,1
Xixon07,Schedonorus arundinaceus,20
Xixon07,Scilla verna,0.1
Xixon07,Trifolium pratense,1
Xixon07,Trifolium repens,0.1
Xixon07,Trisetum flavescens,1
Xixon08,Anagallis arvensis,0.1
Xixon08,Calystegia sepium,10
Xixon08,Carex cuprina,10
Xixon08,Carex divulsa,0.1
Xixon08,Centaurea nigra,30
Xixon08,Cirsium vulgare,0.1
Xixon08,Dactylis glomerata,10
Xixon08,Daucus carota,2
Xixon08,Dipsacus fullonum,1
Xixon08,Dittrichia viscosa,20
Xixon08,Helminthotheca echioides,5
Xixon08,Holcus lanatus,30
Xixon08,Lathyrus pratensis,0.1
Xixon08,Lotus pedunculatus,1
Xixon08,Plantago lanceolata,30
Xixon08,Plantago major,1
Xixon08,Poa pratensis,1
Xixon08,Prunella vulgaris,5
Xixon08,Pulicaria dysenterica,20
Xixon08,Ranunculus acris,1
Xixon08,Rubus sp.,0.1
Xixon08,Rumex crispus,5
Xixon08,Schedonorus arundinaceus,5
Xixon08,Scrophularia auriculata,1
Xixon08,Verbena officinalis,0.1
Xixon09,Avena barbata,30
Xixon09,Calystegia sepium,2
Xixon09,Carex divulsa,0.1
Xixon09,Centaurea nigra,1
Xixon09,Centaurium erythraea,0.1
Xixon09,Dactylis glomerata,5
Xixon09,Geranium dissectum,2
Xixon09,Helminthotheca echioides,40
Xixon09,Holcus lanatus,10
Xixon09,Lathyrus pratensis,50
Xixon09,Lolium perenne,1
Xixon09,Ranunculus acris,10
Xixon09,Rubus sp.,0.1
Xixon09,Rumex crispus,0.1
Xixon09,Schedonorus arundinaceus,5
Xixon09,Trifolium pratense,1
Xixon10,Avena barbata,0.1
Xixon10,Centaurea nigra,20
Xixon10,Crepis vesicaria,0.1
Xixon10,Cynosurus cristatus,2
Xixon10,Dactylis glomerata,2
Xixon10,Equisetum telmateia,30
Xixon10,Helminthotheca echioides,0.1
Xixon10,Holcus lanatus,10
Xixon10,Lathyrus pratensis,2
Xixon10,Leucanthemum vulgare s.l.,0.1
Xixon10,Lotus corniculatus,10
Xixon10,Plantago lanceolata,2
Xixon10,Poa pratensis,1
Xixon10,Schedonorus arundinaceus,60
Xixon10,Trifolium pratense,10
Xixon11,Blackstonia perfoliata,5
Xixon11,Centaurium erythraea,0.1
Xixon11,Centaurium tenuiflorum,1
Xixon11,Cortaderia selloana,2
Xixon11,Daucus carota,0.1
Xixon11,Dittrichia viscosa,0.1
Xixon11,Erigeron acris,0.1
Xixon11,Holcus lanatus,0.1
Xixon11,Laurus nobilis,0.1
Xixon11,Leucanthemum vulgare s.l.,0.1
Xixon11,Linum strictum,0.1
Xixon11,Lotus corniculatus,1
Xixon11,Medicago sativa,5
Xixon11,Potentilla reptans,1
Xixon11,Schedonorus arundinaceus,50
Xixon11,Serapias lingua,0.1
Xixon11,Serapias parviflora,0.1
Xixon12,Carex divulsa,0.1
Xixon12,Cerastium glomeratum,0.1
Xixon12,Cyperus longus,30
Xixon12,Geranium dissectum,2
Xixon12,Helminthotheca echioides,2
Xixon12,Holcus lanatus,20
Xixon12,Lolium perenne,5
Xixon12,Lotus corniculatus,10
Xixon12,Ochlopoa annua,20
Xixon12,Paspalum dilatatum,1
Xixon12,Plantago lanceolata,30
Xixon12,Potentilla reptans,1
Xixon12,Prunella vulgaris,1
Xixon12,Pulicaria dysenterica,0.1
Xixon12,Taraxacum gr. officinale,0.1
Xixon12,Trifolium repens,5
Xixon13,Brassica nigra,0.1
Xixon13,Bromus racemosus,0.1
Xixon13,Calystegia silvatica,10
Xixon13,Carex divulsa,1
Xixon13,Carex pendula,1
Xixon13,Centaurea nigra,0.1
Xixon13,Cirsium vulgare,1
Xixon13,Dactylis glomerata,30
Xixon13,Daucus carota,0.1
Xixon13,Euphorbia platyphyllos,1
Xixon13,Galactites tomentosus,1
Xixon13,Geranium robertianum,0.1
Xixon13,Helminthotheca echioides,20
Xixon13,Holcus lanatus,40
Xixon13,Hypericum perforatum,0.1
Xixon13,Kickxia elatine,5
Xixon13,Lactuca virosa,1
Xixon13,Lolium perenne,5
Xixon13,Lotus pedunculatus,2
Xixon13,Lythrum junceum,0.1
Xixon13,Malva sylvestris,2
Xixon13,Medicago lupulina,2
Xixon13,Ochlopoa annua,20
Xixon13,Plantago lanceolata,20
Xixon13,Poa pratensis,0.1
Xixon13,Rubus sp.,0.1
Xixon13,Rumex conglomeratus,20
Xixon13,Schedonorus arundinaceus,1
Xixon13,Vicia sativa,0.1
Xixon14,Agrostis capillaris,20
Xixon14,Anthoxanthum odoratum,2
Xixon14,Brachypodium pinnatum,20
Xixon14,Briza maxima,1
Xixon14,Bromus hordeaceus,0.1
Xixon14,Centaurea nigra,1
Xixon14,Cynosurus cristatus,0.1
Xixon14,Dactylis glomerata,40
Xixon14,Danthonia decumbens,1
Xixon14,Daucus carota,0.1
Xixon14,Holcus lanatus,30
Xixon14,Hypochaeris radicata,0.1
Xixon14,Leontodon hispidus,1
Xixon14,Lolium perenne,2
Xixon14,Lotus corniculatus,50
Xixon14,Luzula campestris,0.1
Xixon14,Medicago lupulina,0.1
Xixon14,Plantago lanceolata,10
Xixon14,Polygala vulgaris,0.1
Xixon14,Potentilla reptans,0.1
Xixon14,Potentilla sterilis,2
Xixon14,Prunella vulgaris,1
Xixon14,Ranunculus bulbosus,1
Xixon14,Schedonorus arundinaceus,20
Xixon14,Trifolium pratense,5
Xixon14,Trifolium repens,1
Xixon14,Viola reichenbachiana s.l.,0.1
Xixon14,Vulpia bromoides,0.1
Xixon15,Anagallis arvensis,0.1
Xixon15,Anthoxanthum odoratum,20
Xixon15,Anthyllis vulneraria,1
Xixon15,Blackstonia perfoliata,5
Xixon15,Brachypodium pinnatum,20
Xixon15,Briza media,20
Xixon15,Carex flacca,20
Xixon15,Carex pendula,2
Xixon15,Centaurea nigra,10
Xixon15,Centaurium tenuiflorum,1
Xixon15,Dactylis glomerata,0.1
Xixon15,Dactylorhiza elata,2
Xixon15,Daucus carota,1
Xixon15,Dittrichia viscosa,2
Xixon15,Equisetum telmateia,2
Xixon15,Festuca rubra,20
Xixon15,Fraxinus excelsior,0.1
Xixon15,Hedera helix s.l.,5
Xixon15,Holcus lanatus,10
Xixon15,Leontodon hispidus,10
Xixon15,Leucanthemum vulgare s.l.,5
Xixon15,Linum catharticum,1
Xixon15,Lotus corniculatus,10
Xixon15,Medicago lupulina,0.1
Xixon15,Medicago sativa,0.1
Xixon15,Plantago lanceolata,2
Xixon15,Pulicaria dysenterica,0.1
Xixon15,Schedonorus arundinaceus,20
Xixon15,Serapias lingua,0.1
Xixon15,Trifolium campestre,0.1
Xixon15,Trifolium repens,0.1
Xixon15,Trisetum flavescens,10
Xixon15,Ulex europaeus,1
Xixon15,Vicia pubescens,5
Xixon16,Anagallis arvensis,0.1
Xixon16,Anthyllis vulneraria,0.1
Xixon16,Avena barbata,10
Xixon16,Brachypodium pinnatum,20
Xixon16,Carex divulsa,1
Xixon16,Festuca rubra,1
Xixon16,Galium parisiense,0.1
Xixon16,Helminthotheca echioides,10
Xixon16,Lactuca serriola,0.1
Xixon16,Leontodon hispidus,0.1
Xixon16,Lotus corniculatus,20
Xixon16,Medicago lupulina,0.1
Xixon16,Petrorhagia nanteuilii,1
Xixon16,Plantago lanceolata,20
Xixon16,Potentilla reptans,2
Xixon16,Schedonorus arundinaceus,1
Xixon16,Sonchus tenerrimus,2
Xixon16,Sporobolus indicus,0.1
Xixon17,Agrostis capillaris,0.1
Xixon17,Anisantha madritensis,0.1
Xixon17,Avena barbata,2
Xixon17,Blackstonia perfoliata,1
Xixon17,Carex cuprina,0.1
Xixon17,Carex divulsa,0.1
Xixon17,Centaurea nigra,1
Xixon17,Centaurium tenuiflorum,0.1
Xixon17,Cirsium vulgare,1
Xixon17,Convolvulus arvensis,1
Xixon17,Cortaderia selloana,20
Xixon17,Dactylis glomerata,2
Xixon17,Dittrichia viscosa,30
Xixon17,Erigeron sumatrensis,0.1
Xixon17,Galactites tomentosus,1
Xixon17,Galium parisiense,0.1
Xixon17,Gnaphalium coarctatum,0.1
Xixon17,Helminthotheca echioides,1
Xixon17,Holcus lanatus,1
Xixon17,Hypericum perforatum,10
Xixon17,Sixalix atropurpurea,20
Xixon17,Leucanthemum vulgare s.l.,1
Xixon17,Linum bienne,0.1
Xixon17,Oxalis corniculata,0.1
Xixon17,Parietaria judaica,0.1
Xixon17,Plantago lanceolata,10
Xixon17,Potentilla reptans,0.1
Xixon17,Prunella vulgaris,0.1
Xixon17,Pulicaria dysenterica,1
Xixon17,Reichardia picroides,0.1
Xixon17,Schedonorus arundinaceus,10
Xixon17,Scrophularia auriculata,0.1
Xixon17,Sherardia arvensis,0.1
Xixon17,Sonchus tenerrimus,1
Xixon17,Vicia cracca,1
Xixon18,Bellis perennis,1
Xixon18,Convolvulus arvensis,0.1
Xixon18,Dactylis glomerata,1
Xixon18,Erodium moschatum,1
Xixon18,Geranium molle,0.1
Xixon18,Holcus lanatus,1
Xixon18,Hordeum murinum,5
Xixon18,Lolium perenne,10
Xixon18,Medicago lupulina,0.1
Xixon18,Ochlopoa annua,70
Xixon18,Plantago lanceolata,0.1
Xixon18,Populus alba,0.1
Xixon18,Potentilla reptans,0.1
Xixon18,Prunella vulgaris,0.1
Xixon18,Taraxacum gr. officinale,0.1
Xixon18,Trifolium pratense,5
Xixon18,Trifolium repens,10
Xixon18,Veronica persica,0.1
Xixon19,Agrostis stolonifera,0.1
Xixon19,Anagallis arvensis,1
Xixon19,Anisantha madritensis,0.1
Xixon19,Blackstonia perfoliata,1
Xixon19,Carex divulsa,0.1
Xixon19,Catapodium rigidum,0.1
Xixon19,Centaurium erythraea,0.1
Xixon19,Centaurium tenuiflorum,2
Xixon19,Cortaderia selloana,5
Xixon19,Daucus carota,1
Xixon19,Dittrichia viscosa,10
Xixon19,Fraxinus excelsior,0.1
Xixon19,Hedera helix s.l.,0.1
Xixon19,Helminthotheca echioides,5
Xixon19,Holcus lanatus,10
Xixon19,Laurus nobilis,0.1
Xixon19,Linum strictum,1
Xixon19,Lotus corniculatus,1
Xixon19,Medicago lupulina,5
Xixon19,Melilotus albus,50
Xixon19,Plantago lanceolata,2
Xixon19,Prunella vulgaris,1
Xixon19,Pulicaria dysenterica,0.1
Xixon19,Rubus sp.,0.1
Xixon19,Sonchus oleraceus,0.1
Xixon19,Trifolium pratense,2
Xixon19,Trifolium repens,5
Xixon19,Vicia sativa,1
Xixon19,Vulpia bromoides,2
Xixon20,Agrostis capillaris,1
Xixon20,Anagallis arvensis,0.1
Xixon20,Anisantha madritensis,1
Xixon20,Bellardia trixago,2
Xixon20,Blackstonia perfoliata,2
Xixon20,Buddleja davidii,20
Xixon20,Cortaderia selloana,20
Xixon20,Cotoneaster coriaceus,0.1
Xixon20,Dittrichia viscosa,20
Xixon20,Erigeron sumatrensis,1
Xixon20,Geranium purpureum,0.1
Xixon20,Helminthotheca echioides,2
Xixon20,Hirschfeldia incana,0.1
Xixon20,Hypericum perforatum,0.1
Xixon20,Hypochaeris radicata,5
Xixon20,Linum bienne,0.1
Xixon20,Lycopus europaeus,0.1
Xixon20,Medicago lupulina,10
Xixon20,Medicago polymorpha,0.1
Xixon20,Melilotus albus,10
Xixon20,Mentha suaveolens,10
Xixon20,Orobanche minor,2
Xixon20,Parentucellia viscosa,2
Xixon20,Parietaria judaica,1
Xixon20,Paspalum dilatatum,0.1
Xixon20,Plantago coronopus,0.1
Xixon20,Plantago lanceolata,10
Xixon20,Rubus sp.,0.1
Xixon20,Serapias lingua,0.1
Xixon20,Serapias parviflora,0.1
Xixon20,Setaria pumila,0.1
Xixon20,Silene gallica,5
Xixon20,Solanum chenopodioides,0.1
Xixon20,Sonchus oleraceus,5
Xixon20,Sonchus tenerrimus,2
Xixon20,Sporobolus indicus,0.1
Xixon20,Verbena officinalis,0.1
Xixon20,Vulpia bromoides,10
Xixon21,Agrostis capillaris,0.1
Xixon21,Anagallis arvensis,0.1
Xixon21,Anthemis cotula,0.1
Xixon21,Avena barbata,0.1
Xixon21,Blackstonia perfoliata,0.1
Xixon21,Clinopodium vulgare,0.1
Xixon21,Cynosurus cristatus,2
Xixon21,Daucus carota,2
Xixon21,Dittrichia viscosa,10
Xixon21,Erigeron sumatrensis,0.1
Xixon21,Foeniculum vulgare,10
Xixon21,Galactites tomentosus,10
Xixon21,Galium parisiense,1
Xixon21,Geranium dissectum,0.1
Xixon21,Geranium robertianum,0.1
Xixon21,Helminthotheca echioides,20
Xixon21,Hirschfeldia incana,20
Xixon21,Holcus lanatus,2
Xixon21,Leontodon hispidus,1
Xixon21,Linum bienne,0.1
Xixon21,Lotus corniculatus,0.1
Xixon21,Medicago lupulina,5
Xixon21,Medicago polymorpha,0.1
Xixon21,Melilotus albus,10
Xixon21,Oxalis corniculata,0.1
Xixon21,Parentucellia viscosa,1
Xixon21,Petrorhagia nanteuilii,1
Xixon21,Plantago lanceolata,2
Xixon21,Rubus sp.,5
Xixon21,Teucrium scorodonia,0.1
Xixon21,Trifolium pratense,1
Xixon21,Vulpia bromoides,2
Xixon22,Agrostis stolonifera,30
Xixon22,Anagallis arvensis,0.1
Xixon22,Anthoxanthum odoratum,0.1
Xixon22,Anthyllis vulneraria,10
Xixon22,Avena barbata,30
Xixon22,Buddleja davidii,5
Xixon22,Catapodium rigidum,0.1
Xixon22,Cortaderia selloana,10
Xixon22,Dactylis glomerata,1
Xixon22,Daucus carota,1
Xixon22,Dittrichia viscosa,10
Xixon22,Hedera helix s.l.,0.1
Xixon22,Helminthotheca echioides,1
Xixon22,Holcus lanatus,0.1
Xixon22,Hypericum perforatum,0.1
Xixon22,Medicago lupulina,0.1
Xixon22,Oxalis latifolia,0.1
Xixon22,Picris hieracioides,0.1
Xixon22,Rhamnus alaternus,0.1
Xixon22,Rubus sp.,0.1
Xixon22,Salix cinerea subsp. oleifolia,0.1
Xixon22,Sonchus tenerrimus,1
Xixon22,Vulpia bromoides,0.1
Xixon23,Agrostis stolonifera,0.1
Xixon23,Anagallis arvensis,0.1
Xixon23,Anthoxanthum odoratum,0.1
Xixon23,Avena barbata,5
Xixon23,Blackstonia perfoliata,1
Xixon23,Centaurium pulchellum,0.1
Xixon23,Centaurium tenuiflorum,2
Xixon23,Cornus sanguinea,0.1
Xixon23,Cortaderia selloana,10
Xixon23,Daucus carota,1
Xixon23,Dittrichia viscosa,20
Xixon23,Elytrigia repens,0.1
Xixon23,Helminthotheca echioides,1
Xixon23,Holcus lanatus,1
Xixon23,Laurus nobilis,0.1
Xixon23,Linum bienne,0.1
Xixon23,Lotus corniculatus,10
Xixon23,Melilotus albus,40
Xixon23,Plantago lanceolata,1
Xixon23,Prunella vulgaris,2
Xixon23,Pulicaria dysenterica,1
Xixon23,Reichardia picroides,1
Xixon23,Schedonorus arundinaceus,0.1
Xixon23,Vulpia bromoides,0.1
Xixon24,Brachypodium sylvaticum,0.1
Xixon24,Carex divulsa,0.1
Xixon24,Castanea sativa,5.1
Xixon24,Cornus sanguinea,0.1
Xixon24,Crataegus monogyna,0.1
Xixon24,Dioscorea communis,0.1
Xixon24,Dryopteris filix-mas,1
Xixon24,Geranium robertianum,0.1
Xixon24,Hedera helix s.l.,30
Xixon24,Hieracium sp.,0.1
Xixon24,Hypericum pulchrum,1
Xixon24,Laurus nobilis,70
Xixon24,Lonicera periclymenum,2
Xixon24,Prunus domestica subsp. insititia,0.1
Xixon24,Pteridium aquilinum,10
Xixon24,Quercus robur,60
Xixon24,Ranunculus parviflorus,0.1
Xixon24,Rhamnus alaternus,0.1
Xixon24,Rubia peregrina,1
Xixon24,Rubus sp.,2
Xixon24,Smilax aspera,0.1
Xixon24,Viola reichenbachiana s.l.,5
Xixon25,Bellis perennis,1
Xixon25,Capsella bursa-pastoris,0.1
Xixon25,Convolvulus arvensis,0.1
Xixon25,Crepis vesicaria,5
Xixon25,Erodium moschatum,2
Xixon25,Helminthotheca echioides,0.1
Xixon25,Holcus lanatus,20
Xixon25,Hordeum murinum,2
Xixon25,Lolium perenne,60
Xixon25,Lotus corniculatus,5
Xixon25,Ochlopoa annua,20
Xixon25,Oxalis corniculata,0.1
Xixon25,Oxalis latifolia,1
Xixon25,Paspalum dilatatum,1
Xixon25,Plantago major,1
Xixon25,Potentilla reptans,1
Xixon25,Rumex crispus,0.1
Xixon25,Taraxacum gr. officinale,2
Xixon25,Torilis nodosa,2
Xixon25,Trifolium pratense,30
Xixon25,Trifolium repens,5
Xixon26,Bellis perennis,1
Xixon26,Capsella bursa-pastoris,5
Xixon26,Convolvulus arvensis,0.1
Xixon26,Cyperus longus,2
Xixon26,Erodium moschatum,10
Xixon26,Geranium dissectum,2
Xixon26,Holcus lanatus,1
Xixon26,Leontodon hispidus,0.1
Xixon26,Lepidium didymum,1
Xixon26,Lolium perenne,60
Xixon26,Ochlopoa annua,10
Xixon26,Paspalum dilatatum,0.1
Xixon26,Plantago coronopus,2
Xixon26,Plantago lanceolata,2
Xixon26,Plantago major,0.1
Xixon26,Potentilla reptans,0.1
Xixon26,Taraxacum gr. officinale,1
Xixon26,Trifolium repens,30
Xixon26,Trifolium tomentosum,2
Xixon26,Veronica arvensis,0.1
Xixon27,Agrostis stolonifera,30
Xixon27,Anagallis arvensis,0.1
Xixon27,Bellis perennis,0.1
Xixon27,Carex leporina,5
Xixon27,Cerastium glomeratum,0.1
Xixon27,Cynodon dactylon,20
Xixon27,Geranium dissectum,1
Xixon27,Helminthotheca echioides,1
Xixon27,Holcus lanatus,1
Xixon27,Hypericum perforatum,1
Xixon27,Leontodon hispidus,0.1
Xixon27,Leucanthemum vulgare s.l.,1
Xixon27,Lolium perenne,5
Xixon27,Lotus corniculatus,20
Xixon27,Lythrum hyssopifolia,0.1
Xixon27,Medicago lupulina,1
Xixon27,Medicago sativa,1
Xixon27,Ochlopoa annua,5
Xixon27,Paspalum dilatatum,20
Xixon27,Plantago lanceolata,0.1
Xixon27,Potentilla reptans,2
Xixon27,Prunella vulgaris,10
Xixon27,Sherardia arvensis,0.1
Xixon27,Taraxacum gr. officinale,2
Xixon27,Trifolium pratense,2
Xixon27,Trifolium repens,1
Xixon27,Veronica chamaedrys,0.1
Xixon28,Acer pseudoplatanus,0.1
Xixon28,Agrostis stolonifera,0.1
Xixon28,Alnus glutinosa,40.1
Xixon28,Angelica sylvestris,2
Xixon28,Brachypodium sylvaticum,10
Xixon28,Cardamine flexuosa,0.1
Xixon28,Carex divulsa,2
Xixon28,Carex pendula,40
Xixon28,Circaea lutetiana,1
Xixon28,Cyperus eragrostis,1
Xixon28,Geum urbanum,0.1
Xixon28,Glechoma hederacea,50
Xixon28,Hedera helix s.l.,1
Xixon28,Laurus nobilis,1
Xixon28,Melica uniflora,5
Xixon28,Mentha aquatica,1
Xixon28,Persicaria hydropiper,2
Xixon28,Ranunculus repens,2
Xixon28,Rubia peregrina,0.1
Xixon28,Rubus sp.,0.1
Xixon28,Rumex obtusifolius,0.1
Xixon28,Rumex sanguineus,2
Xixon28,Salix cinerea subsp. oleifolia,30
Xixon28,Salix eleagnos,30
Xixon28,Tradescantia fluminensis,20
Xixon28,Urtica dioica,2
Xixon28,Veronica montana,0.1
Xixon28,Viola reichenbachiana s.l.,0.1
Xixon29,Acer pseudoplatanus,32
Xixon29,Corylus avellana,2
Xixon29,Crataegus monogyna,5
Xixon29,Fraxinus excelsior,2
Xixon29,Geranium robertianum,0.1
Xixon29,Hedera helix s.l.,70
Xixon29,Ilex aquifolium,20
Xixon29,Laurus nobilis,120
Xixon29,Lonicera periclymenum,0.1
Xixon29,Prunus domestica subsp. insititia,1
Xixon29,Quercus robur,60
Xixon29,Stachys officinalis,0.1
Xixon30,Corylus avellana,80
Xixon30,Dioscorea communis,2
Xixon30,Hedera helix s.l.,60
Xixon30,Laurus nobilis,10
Xixon30,Lilium pyrenaicum,10
Xixon30,Mercurialis perennis,40
Xixon30,Prunus domestica subsp. insititia,1
Xixon30,Rubia peregrina,0.1
Xixon30,Rubus sp.,0.1
Xixon30,Smilax aspera,5
