"taxon","id","cover"
"Aquimonas sp.","Xixon10",39
"Aquimonas sp.","Xixon11",33
"Aquimonas sp.","Xixon13",34
"Aquimonas sp.","Xixon16",10
"Aquimonas sp.","Xixon18",13
"Aquimonas sp.","Xixon20",116
"Aquimonas sp.","Xixon23",41
"Aquimonas sp.","Xixon27",16
"Aquimonas sp.","Xixon29",15
"Arenimicrobium luteum","Xixon11",168
"Arenimicrobium luteum","Xixon16",40
"Arenimicrobium luteum","Xixon17",27
"Arenimicrobium luteum","Xixon20",36
"Arenimicrobium luteum","Xixon21",30
"Arenimicrobium luteum","Xixon22",71
"Arenimonas oryziterrae","Xixon06",70
"Arenimonas oryziterrae","Xixon29",22
"Azospirillum sp.","Xixon02",26
"Bacillus murimartini","Xixon06",43
"Bacillus murimartini","Xixon28",19
"Bacillus psychrosaccharolyticus","Xixon05",30
"Bacillus psychrosaccharolyticus","Xixon08",21
"Bacillus psychrosaccharolyticus","Xixon16",20
"Bacillus psychrosaccharolyticus","Xixon21",18
"Bacillus thermolactis","Xixon18",32
"Bacteroidetes bacterium","Xixon06",37
"Bacteroidetes bacterium","Xixon09",22
"Bacteroidetes bacterium","Xixon22",12
"Bdellovibrio sp.","Xixon27",16
"Bdellovibrionales bacterium","Xixon19",15
"Belnapia sp.","Xixon23",27
"Betaproteobacteria bacterium","Xixon04",70
"Betaproteobacteria bacterium","Xixon08",55
"Betaproteobacteria bacterium","Xixon09",103
"Betaproteobacteria bacterium","Xixon10",21
"Betaproteobacteria bacterium","Xixon12",44
"Betaproteobacteria bacterium","Xixon14",32
"Betaproteobacteria bacterium","Xixon15",54
"Betaproteobacteria bacterium","Xixon18",34
"Betaproteobacteria bacterium","Xixon19",25
"Betaproteobacteria bacterium","Xixon22",56
"Betaproteobacteria bacterium","Xixon27",81
"Betaproteobacteria bacterium","Xixon29",37
"Betaproteobacteria bacterium","Xixon30",76
"Brachybacterium tyrofermentans","Xixon06",29
"Buchnera aphidicola","Xixon19",55
"Buchnera aphidicola","Xixon23",17
"Burkholderiales bacterium","Xixon23",16
"Candidatus Adlerbacteria","Xixon03",12
"Candidatus Hepatoplasma","Xixon03",275
"Candidatus Metachlamydia","Xixon11",17
"Candidatus Metachlamydia","Xixon15",13
"Candidatus Metachlamydia","Xixon18",25
"Candidatus Metachlamydia","Xixon23",12
"Candidatus Protochlamydia","Xixon01",33
"Candidatus Protochlamydia","Xixon07",21
"Candidatus Protochlamydia","Xixon09",15
"Catellatospora sp.","Xixon01",29
"Catellatospora sp.","Xixon04",42
"Catellatospora sp.","Xixon05",23
"Catellatospora sp.","Xixon06",21
"Catellatospora sp.","Xixon07",17
"Catellatospora sp.","Xixon08",36
"Catellatospora sp.","Xixon09",42
"Catellatospora sp.","Xixon12",20
"Catellatospora sp.","Xixon13",16
"Catellatospora sp.","Xixon15",13
"Catellatospora sp.","Xixon17",26
"Catellatospora sp.","Xixon18",57
"Catellatospora sp.","Xixon21",11
"Catellatospora sp.","Xixon22",29
"Catellatospora sp.","Xixon25",22
"Catellatospora sp.","Xixon26",27
"Catellatospora sp.","Xixon27",31
"Catenulispora acidiphila","Xixon02",12
"Catenulispora acidiphila","Xixon24",12
"Chlorobi bacterium","Xixon07",13
"Chlorobi bacterium","Xixon08",23
"Chlorobi bacterium","Xixon14",12
"Chlorobi bacterium","Xixon18",13
"Chlorobi bacterium","Xixon25",13
"Chlorobi bacterium","Xixon28",12
"Chlorobi bacterium","Xixon29",26
"Chlorobi bacterium","Xixon30",12
"Chloroflexi bacterium","Xixon02",60
"Chloroflexi bacterium","Xixon03",46
"Chloroflexi bacterium","Xixon06",30
"Chloroflexi bacterium","Xixon14",27
"Chloroflexi bacterium","Xixon24",69
"Chroococcus sp.","Xixon20",98
"Chryseobacterium piscium","Xixon25",14
"Chryseobacterium piscium","Xixon27",72
"Chryseolinea flava","Xixon04",15
"Chryseolinea flava","Xixon07",18
"Chryseolinea flava","Xixon09",33
"Chryseolinea flava","Xixon13",15
"Chryseolinea flava","Xixon15",27
"Chryseolinea flava","Xixon20",22
"Chryseolinea flava","Xixon29",12
"Chryseolinea flava","Xixon30",14
"Clostridiaceae bacterium","Xixon08",18
"Clostridiaceae bacterium","Xixon13",14
"Clostridium magnum","Xixon02",16
"Clostridium magnum","Xixon09",30
"Clostridium sp.","Xixon01",18
"Clostridium sp.","Xixon13",19
"Clostridium sp.","Xixon17",37
"Clostridium vincentii","Xixon13",13
"Cytophaga hutchinsonii","Xixon09",76
"Cytophaga hutchinsonii","Xixon10",20
"Cytophagaceae bacterium","Xixon16",12
"Cytophagaceae bacterium","Xixon25",52
"Cytophagaceae bacterium","Xixon27",15
"Elusimicrobia bacterium","Xixon12",34
"Elusimicrobia bacterium","Xixon25",12
"Embleya scabrispora","Xixon21",19
"Enhygromyxa sp.","Xixon18",15
"Enhygromyxa sp.","Xixon22",33
"Ferruginibacter paludis","Xixon02",16
"Flavobacterium johnsoniae","Xixon30",12
"Flavobacterium noncentrifugens","Xixon06",17
"Flavobacterium noncentrifugens","Xixon20",90
"Fluviicola sp.","Xixon04",22
"Fluviicola sp.","Xixon25",10
"Gaiella sp.","Xixon01",62
"Gaiella sp.","Xixon04",11
"Gaiella sp.","Xixon05",40
"Gaiella sp.","Xixon06",62
"Gaiella sp.","Xixon07",115
"Gaiella sp.","Xixon08",100
"Gaiella sp.","Xixon09",37
"Gaiella sp.","Xixon12",42
"Gaiella sp.","Xixon13",56
"Gaiella sp.","Xixon14",21
"Gaiella sp.","Xixon15",51
"Gaiella sp.","Xixon16",23
"Gaiella sp.","Xixon17",59
"Gaiella sp.","Xixon18",68
"Gaiella sp.","Xixon19",19
"Gaiella sp.","Xixon21",43
"Gaiella sp.","Xixon22",14
"Gaiella sp.","Xixon25",43
"Gaiella sp.","Xixon26",44
"Gaiella sp.","Xixon27",36
"Gaiella sp.","Xixon28",70
"Gaiella sp.","Xixon30",74
"Gemmata sp.","Xixon01",29
"Gemmata sp.","Xixon02",34
"Gemmata sp.","Xixon03",37
"Gemmata sp.","Xixon04",105
"Gemmata sp.","Xixon05",27
"Gemmata sp.","Xixon06",95
"Gemmata sp.","Xixon07",23
"Gemmata sp.","Xixon08",120
"Gemmata sp.","Xixon09",70
"Gemmata sp.","Xixon10",33
"Gemmata sp.","Xixon11",72
"Gemmata sp.","Xixon12",24
"Gemmata sp.","Xixon13",90
"Gemmata sp.","Xixon14",67
"Gemmata sp.","Xixon15",76
"Gemmata sp.","Xixon16",57
"Gemmata sp.","Xixon17",53
"Gemmata sp.","Xixon18",64
"Gemmata sp.","Xixon19",35
"Gemmata sp.","Xixon20",116
"Gemmata sp.","Xixon21",102
"Gemmata sp.","Xixon22",77
"Gemmata sp.","Xixon24",49
"Gemmata sp.","Xixon25",17
"Gemmata sp.","Xixon26",20
"Gemmata sp.","Xixon28",19
"Gemmata sp.","Xixon29",57
"Gemmata sp.","Xixon30",17
"Gemmatimonadetes bacterium","Xixon02",93
"Gemmatimonadetes bacterium","Xixon03",65
"Gemmatimonadetes bacterium","Xixon24",128
"Gemmatimonadetes bacterium","Xixon29",32
"Geobacter psychrophilus","Xixon23",15
"Hydrogenispora ethanolica","Xixon01",27
"Hymenobacter sp.","Xixon11",15
"Hymenobacter sp.","Xixon20",19
"Idiomarina sp.","Xixon09",25
"Jeongeupia sp.","Xixon24",13
"Juncus effusus","Xixon04",12
"Juncus effusus","Xixon06",113
"Juncus effusus","Xixon08",20
"Juncus effusus","Xixon11",20
"Juncus effusus","Xixon12",20
"Juncus effusus","Xixon13",34
"Juncus effusus","Xixon17",13
"Juncus effusus","Xixon21",30
"Juncus effusus","Xixon28",31
"Kribbella sp.","Xixon02",38
"Kribbella sp.","Xixon04",31
"Kribbella sp.","Xixon05",42
"Kribbella sp.","Xixon06",49
"Kribbella sp.","Xixon07",28
"Kribbella sp.","Xixon08",19
"Kribbella sp.","Xixon09",25
"Kribbella sp.","Xixon10",68
"Kribbella sp.","Xixon11",57
"Kribbella sp.","Xixon12",64
"Kribbella sp.","Xixon14",83
"Kribbella sp.","Xixon15",16
"Kribbella sp.","Xixon16",48
"Kribbella sp.","Xixon17",60
"Kribbella sp.","Xixon18",38
"Kribbella sp.","Xixon19",61
"Kribbella sp.","Xixon24",13
"Kribbella sp.","Xixon25",48
"Kribbella sp.","Xixon26",58
"Kribbella sp.","Xixon27",115
"Kribbella sp.","Xixon29",42
"Kribbella sp.","Xixon30",73
"Labrys methylaminiphilus","Xixon30",12
"Leptolyngbya frigida","Xixon20",17
"Luteibacter sp.","Xixon27",19
"Luteolibacter arcticus","Xixon04",39
"Luteolibacter arcticus","Xixon06",60
"Luteolibacter arcticus","Xixon09",64
"Luteolibacter arcticus","Xixon22",23
"Marmoricola sp.","Xixon01",44
"Marmoricola sp.","Xixon02",19
"Marmoricola sp.","Xixon04",48
"Marmoricola sp.","Xixon05",24
"Marmoricola sp.","Xixon06",15
"Marmoricola sp.","Xixon07",17
"Marmoricola sp.","Xixon08",28
"Marmoricola sp.","Xixon09",82
"Marmoricola sp.","Xixon10",37
"Marmoricola sp.","Xixon11",22
"Marmoricola sp.","Xixon12",26
"Marmoricola sp.","Xixon13",65
"Marmoricola sp.","Xixon15",14
"Marmoricola sp.","Xixon16",13
"Marmoricola sp.","Xixon19",85
"Marmoricola sp.","Xixon21",43
"Marmoricola sp.","Xixon22",52
"Marmoricola sp.","Xixon23",43
"Marmoricola sp.","Xixon25",25
"Marmoricola sp.","Xixon26",18
"Marmoricola sp.","Xixon27",18
"Marmoricola sp.","Xixon28",29
"Mesorhizobium albiziae","Xixon01",47
"Mesorhizobium albiziae","Xixon04",557
"Mesorhizobium albiziae","Xixon05",49
"Mesorhizobium albiziae","Xixon06",210
"Mesorhizobium albiziae","Xixon07",69
"Mesorhizobium albiziae","Xixon08",82
"Mesorhizobium albiziae","Xixon09",79
"Mesorhizobium albiziae","Xixon10",159
"Mesorhizobium albiziae","Xixon11",59
"Mesorhizobium albiziae","Xixon12",91
"Mesorhizobium albiziae","Xixon13",94
"Mesorhizobium albiziae","Xixon14",96
"Mesorhizobium albiziae","Xixon15",47
"Mesorhizobium albiziae","Xixon16",22
"Mesorhizobium albiziae","Xixon18",104
"Mesorhizobium albiziae","Xixon19",80
"Mesorhizobium albiziae","Xixon20",77
"Mesorhizobium albiziae","Xixon21",66
"Mesorhizobium albiziae","Xixon22",77
"Mesorhizobium albiziae","Xixon25",136
"Mesorhizobium albiziae","Xixon26",230
"Mesorhizobium albiziae","Xixon27",64
"Mesorhizobium albiziae","Xixon28",55
"Mesorhizobium albiziae","Xixon29",79
"Methylobacterium cerastii","Xixon20",24
"Methylobacterium oxalidis","Xixon20",13
"Methylobacterium sp.","Xixon20",50
"Microcoleus sp.","Xixon23",36
"Mucilaginibacter galii","Xixon11",11
"Mycoavidus cysteinexigens","Xixon03",17
"Myxococcales bacterium","Xixon11",23
"Myxococcales bacterium","Xixon18",12
"Myxococcales bacterium","Xixon20",34
"Myxococcales bacterium","Xixon23",12
"Myxococcales bacterium","Xixon30",30
"Nakamurella multipartita","Xixon04",33
"Nakamurella multipartita","Xixon06",62
"Nakamurella multipartita","Xixon09",40
"Nakamurella multipartita","Xixon10",61
"Nakamurella multipartita","Xixon19",29
"Nakamurella multipartita","Xixon20",91
"Nakamurella multipartita","Xixon21",18
"Nakamurella multipartita","Xixon22",50
"Nakamurella multipartita","Xixon23",15
"Nannocystis konarekensis","Xixon23",77
"Nevskia terrae","Xixon03",27
"Niastella koreensis","Xixon14",17
"Nitrosomonas communis","Xixon01",29
"Nitrosomonas communis","Xixon18",17
"Nitrosomonas communis","Xixon26",12
"Nitrospira bacterium","Xixon05",27
"Nitrospira bacterium","Xixon06",17
"Nitrospira bacterium","Xixon08",52
"Nitrospira bacterium","Xixon12",58
"Nitrospira bacterium","Xixon13",9
"Nitrospira bacterium","Xixon18",114
"Nitrospira bacterium","Xixon26",55
"Nitrospira bacterium","Xixon28",39
"Nitrospira bacterium","Xixon30",16
"Nitrospira japonica","Xixon01",378
"Nitrospira japonica","Xixon02",66
"Nitrospira japonica","Xixon05",140
"Nitrospira japonica","Xixon06",174
"Nitrospira japonica","Xixon07",72
"Nitrospira japonica","Xixon08",209
"Nitrospira japonica","Xixon09",82
"Nitrospira japonica","Xixon12",175
"Nitrospira japonica","Xixon13",90
"Nitrospira japonica","Xixon15",22
"Nitrospira japonica","Xixon16",141
"Nitrospira japonica","Xixon17",123
"Nitrospira japonica","Xixon18",344
"Nitrospira japonica","Xixon21",124
"Nitrospira japonica","Xixon25",298
"Nitrospira japonica","Xixon26",384
"Nitrospira japonica","Xixon27",74
"Nitrospira japonica","Xixon28",138
"Nitrospira moscoviensis","Xixon01",50
"Nitrospira moscoviensis","Xixon05",29
"Nitrospira moscoviensis","Xixon06",17
"Nitrospira moscoviensis","Xixon08",70
"Nitrospira moscoviensis","Xixon09",19
"Nitrospira moscoviensis","Xixon10",13
"Nitrospira moscoviensis","Xixon11",11
"Nitrospira moscoviensis","Xixon12",25
"Nitrospira moscoviensis","Xixon13",18
"Nitrospira moscoviensis","Xixon16",58
"Nitrospira moscoviensis","Xixon18",43
"Nitrospira moscoviensis","Xixon19",54
"Nitrospira moscoviensis","Xixon21",89
"Nitrospira moscoviensis","Xixon25",32
"Nitrospira moscoviensis","Xixon26",81
"Nocardia takedensis","Xixon30",26
"Nocardioides dilutus","Xixon04",21
"Nocardioides dilutus","Xixon06",21
"Nocardioides dilutus","Xixon07",24
"Nocardioides dilutus","Xixon09",29
"Nocardioides dilutus","Xixon10",38
"Nocardioides dilutus","Xixon13",26
"Nocardioides dilutus","Xixon17",18
"Nocardioides dilutus","Xixon19",59
"Nocardioides dilutus","Xixon20",104
"Nocardioides dilutus","Xixon21",33
"Nocardioides dilutus","Xixon22",38
"Nocardioides dilutus","Xixon23",62
"Nocardioides dilutus","Xixon27",17
"Nocardioides halotolerans","Xixon02",33
"Nocardioides halotolerans","Xixon04",15
"Nocardioides halotolerans","Xixon05",21
"Nocardioides halotolerans","Xixon06",34
"Nocardioides halotolerans","Xixon09",26
"Nocardioides halotolerans","Xixon10",26
"Nocardioides halotolerans","Xixon12",23
"Nocardioides halotolerans","Xixon14",49
"Nocardioides halotolerans","Xixon15",13
"Nocardioides halotolerans","Xixon18",17
"Nocardioides halotolerans","Xixon20",42
"Nocardioides halotolerans","Xixon24",20
"Nocardioides halotolerans","Xixon25",21
"Nocardioides halotolerans","Xixon26",30
"Nocardioides halotolerans","Xixon27",45
"Nocardioides halotolerans","Xixon29",65
"Nocardioides jensenii","Xixon10",17
"Nordella oligomobilis","Xixon02",12
"Nordella oligomobilis","Xixon04",13
"Nordella oligomobilis","Xixon10",15
"Nordella oligomobilis","Xixon13",12
"Nordella oligomobilis","Xixon14",58
"Nordella oligomobilis","Xixon16",13
"Nordella oligomobilis","Xixon18",15
"Nordella oligomobilis","Xixon20",24
"Nordella oligomobilis","Xixon22",23
"Nordella oligomobilis","Xixon24",56
"Nordella oligomobilis","Xixon25",16
"Nordella oligomobilis","Xixon26",41
"Nordella oligomobilis","Xixon27",24
"Nordella oligomobilis","Xixon29",52
"Nordella oligomobilis","Xixon30",20
"Ohtaekwangia koreensis","Xixon20",13
"Ohtaekwangia koreensis","Xixon23",18
"Olivibacter soli","Xixon27",60
"Paenibacillus anaericanus","Xixon29",20
"Paenibacillus arcticus","Xixon02",12
"Paenibacillus arcticus","Xixon29",34
"Paenibacillus daejeonensis","Xixon06",19
"Paenibacillus koleovorans","Xixon01",32
"Paenibacillus koleovorans","Xixon16",16
"Paenibacillus koleovorans","Xixon29",14
"Paenibacillus koleovorans","Xixon30",29
"Paenibacillus pectinilyticus","Xixon03",44
"Paenibacillus pectinilyticus","Xixon05",20
"Paenibacillus pectinilyticus","Xixon11",23
"Paenibacillus pectinilyticus","Xixon14",39
"Paenibacillus pectinilyticus","Xixon15",33
"Paenibacillus pectinilyticus","Xixon16",28
"Paenibacillus pectinilyticus","Xixon18",22
"Paenibacillus pectinilyticus","Xixon19",18
"Paenibacillus pectinilyticus","Xixon23",13
"Paenibacillus pectinilyticus","Xixon24",84
"Paenibacillus pectinilyticus","Xixon27",15
"Paenibacillus pectinilyticus","Xixon29",75
"Paenibacillus pectinilyticus","Xixon30",43
"Paenibacillus rhizoryzae","Xixon01",28
"Paenibacillus rhizoryzae","Xixon05",17
"Paenibacillus rhizoryzae","Xixon14",20
"Paenibacillus rhizoryzae","Xixon24",20
"Paenibacillus rhizoryzae","Xixon28",19
"Paenibacillus rhizoryzae","Xixon29",54
"Paenibacillus rhizoryzae","Xixon30",44
"Paenibacillus sacheonensis","Xixon03",69
"Paenibacillus sacheonensis","Xixon24",49
"Paenibacillus sacheonensis","Xixon29",15
"Paenibacillus sepulcri","Xixon30",29
"Paludisphaera borealis","Xixon02",47
"Paludisphaera borealis","Xixon14",19
"Panacibacter ginsenosidivorans","Xixon02",45
"Panacibacter ginsenosidivorans","Xixon04",37
"Panacibacter ginsenosidivorans","Xixon05",18
"Panacibacter ginsenosidivorans","Xixon06",22
"Panacibacter ginsenosidivorans","Xixon07",27
"Panacibacter ginsenosidivorans","Xixon08",16
"Panacibacter ginsenosidivorans","Xixon09",64
"Panacibacter ginsenosidivorans","Xixon10",21
"Panacibacter ginsenosidivorans","Xixon13",42
"Panacibacter ginsenosidivorans","Xixon14",32
"Panacibacter ginsenosidivorans","Xixon16",10
"Panacibacter ginsenosidivorans","Xixon18",21
"Panacibacter ginsenosidivorans","Xixon19",39
"Panacibacter ginsenosidivorans","Xixon20",13
"Panacibacter ginsenosidivorans","Xixon24",11
"Panacibacter ginsenosidivorans","Xixon26",13
"Panacibacter ginsenosidivorans","Xixon27",19
"Panacibacter ginsenosidivorans","Xixon28",23
"Panacibacter ginsenosidivorans","Xixon29",33
"Panacibacter ginsenosidivorans","Xixon30",14
"Pedosphaera parvula","Xixon02",34
"Pedosphaera parvula","Xixon24",18
"Peredibacter starrii","Xixon02",25
"Peredibacter starrii","Xixon04",42
"Peredibacter starrii","Xixon05",29
"Peredibacter starrii","Xixon06",76
"Peredibacter starrii","Xixon07",54
"Peredibacter starrii","Xixon08",24
"Peredibacter starrii","Xixon09",95
"Peredibacter starrii","Xixon10",60
"Peredibacter starrii","Xixon11",51
"Peredibacter starrii","Xixon12",54
"Peredibacter starrii","Xixon13",66
"Peredibacter starrii","Xixon15",56
"Peredibacter starrii","Xixon16",42
"Peredibacter starrii","Xixon17",27
"Peredibacter starrii","Xixon18",28
"Peredibacter starrii","Xixon19",57
"Peredibacter starrii","Xixon20",92
"Peredibacter starrii","Xixon21",42
"Peredibacter starrii","Xixon22",35
"Peredibacter starrii","Xixon25",31
"Peredibacter starrii","Xixon26",29
"Peredibacter starrii","Xixon27",95
"Peredibacter starrii","Xixon29",48
"Phenylobacterium hankyongense","Xixon23",19
"Pilimelia anulata","Xixon04",10
"Pilimelia anulata","Xixon06",15
"Pirellula sp.","Xixon20",15
"Planctomyces sp.","Xixon29",12
"Planctomycetaceae bacterium","Xixon02",20
"Planctomycetaceae bacterium","Xixon03",17
"Planctomycetales bacterium","Xixon02",15
"Planctomycetales bacterium","Xixon03",23
"Planctomycetales bacterium","Xixon14",32
"Planctomycetales bacterium","Xixon19",20
"Planctomycetales bacterium","Xixon20",19
"Planctomycetales bacterium","Xixon22",25
"Planctomycetales bacterium","Xixon24",37
"Planctomycetales bacterium","Xixon29",14
"Planifilum composti","Xixon18",18
"Polyangium sp.","Xixon08",22
"Polyangium sp.","Xixon09",18
"Polyangium sp.","Xixon15",19
"Polyangium sp.","Xixon18",15
"Polyangium sp.","Xixon20",33
"Pontibacter populi","Xixon01",192
"Pontibacter populi","Xixon21",73
"Pyxidicoccus fallax","Xixon22",24
"Reyranella sp.","Xixon02",31
"Reyranella sp.","Xixon10",54
"Reyranella sp.","Xixon14",12
"Reyranella sp.","Xixon28",31
"Reyranella sp.","Xixon29",40
"Rhizobiales bacterium","Xixon02",16
"Rhizobiales bacterium","Xixon03",69
"Rhizobiales bacterium","Xixon14",28
"Rhizobiales bacterium","Xixon24",104
"Rhizobiales bacterium","Xixon29",14
"Rhizorhapis suberifaciens","Xixon01",20
"Rhodococcus coprophilus","Xixon06",66
"Rhodococcus hoagii","Xixon05",16
"Rhodococcus hoagii","Xixon06",98
"Rhodococcus hoagii","Xixon09",91
"Rhodococcus hoagii","Xixon20",25
"Rhodococcus hoagii","Xixon25",12
"Rhodococcus hoagii","Xixon27",14
"Rhodococcus maanshanensis","Xixon16",9
"Rhodococcus maanshanensis","Xixon22",32
"Rhodococcus maanshanensis","Xixon25",13
"Rhodococcus tukisamuensis","Xixon02",56
"Rhodococcus tukisamuensis","Xixon04",35
"Rhodococcus tukisamuensis","Xixon05",24
"Rhodococcus tukisamuensis","Xixon06",23
"Rhodococcus tukisamuensis","Xixon07",35
"Rhodococcus tukisamuensis","Xixon08",34
"Rhodococcus tukisamuensis","Xixon10",24
"Rhodococcus tukisamuensis","Xixon12",24
"Rhodococcus tukisamuensis","Xixon14",20
"Rhodococcus tukisamuensis","Xixon18",36
"Rhodococcus tukisamuensis","Xixon25",47
"Rhodococcus tukisamuensis","Xixon26",29
"Rhodococcus tukisamuensis","Xixon28",18
"Rhodococcus tukisamuensis","Xixon29",25
"Rhodospirillaceae bacterium","Xixon02",164
"Rhodospirillaceae bacterium","Xixon03",17
"Rhodospirillaceae bacterium","Xixon14",17
"Rhodospirillaceae bacterium","Xixon24",24
"Rhodospirillaceae bacterium","Xixon29",23
"Rhodospirillaceae bacterium","Xixon30",132
"Roseimicrobium gellanilyticum","Xixon04",12
"Roseimicrobium gellanilyticum","Xixon09",20
"Roseimicrobium gellanilyticum","Xixon25",11
"Roseomonas aquatica","Xixon20",22
"Roseomonas frigidaquae","Xixon23",14
"Roseomonas lacus","Xixon06",44
"Roseomonas lacus","Xixon09",24
"Roseomonas lacus","Xixon13",12
"Rubrobacterineae bacterium","Xixon01",24
"Rubrobacterineae bacterium","Xixon02",149
"Rubrobacterineae bacterium","Xixon04",41
"Rubrobacterineae bacterium","Xixon06",30
"Rubrobacterineae bacterium","Xixon07",14
"Rubrobacterineae bacterium","Xixon09",16
"Rubrobacterineae bacterium","Xixon10",37
"Rubrobacterineae bacterium","Xixon11",51
"Rubrobacterineae bacterium","Xixon12",16
"Rubrobacterineae bacterium","Xixon14",103
"Rubrobacterineae bacterium","Xixon15",55
"Rubrobacterineae bacterium","Xixon16",18
"Rubrobacterineae bacterium","Xixon17",42
"Rubrobacterineae bacterium","Xixon18",11
"Rubrobacterineae bacterium","Xixon19",27
"Rubrobacterineae bacterium","Xixon22",29
"Rubrobacterineae bacterium","Xixon24",29
"Rubrobacterineae bacterium","Xixon25",11
"Rubrobacterineae bacterium","Xixon27",32
"Rubrobacterineae bacterium","Xixon29",91
"Rubrobacterineae bacterium","Xixon30",55
"Saccharibacillus deserti","Xixon25",10
"Sandaracinus amylolyticus","Xixon11",21
"Sandaracinus amylolyticus","Xixon14",14
"Sandaracinus amylolyticus","Xixon15",17
"Sandaracinus amylolyticus","Xixon19",22
"Sandaracinus amylolyticus","Xixon21",21
"Sandaracinus amylolyticus","Xixon22",21
"Sandaracinus amylolyticus","Xixon23",17
"Sandaracinus amylolyticus","Xixon30",12
"Sanguibacter sp.","Xixon25",15
"Singulisphaera sp.","Xixon01",24
"Singulisphaera sp.","Xixon04",26
"Singulisphaera sp.","Xixon06",27
"Singulisphaera sp.","Xixon09",32
"Singulisphaera sp.","Xixon12",13
"Singulisphaera sp.","Xixon15",40
"Singulisphaera sp.","Xixon16",37
"Singulisphaera sp.","Xixon17",78
"Singulisphaera sp.","Xixon18",17
"Singulisphaera sp.","Xixon19",37
"Singulisphaera sp.","Xixon20",25
"Singulisphaera sp.","Xixon21",17
"Singulisphaera sp.","Xixon22",14
"Singulisphaera sp.","Xixon25",10
"Singulisphaera sp.","Xixon27",16
"Solirubrobacterales bacterium","Xixon06",29
"Solirubrobacterales bacterium","Xixon08",19
"Solirubrobacterales bacterium","Xixon09",21
"Solirubrobacterales bacterium","Xixon10",32
"Solirubrobacterales bacterium","Xixon11",22
"Solirubrobacterales bacterium","Xixon16",14
"Solirubrobacterales bacterium","Xixon19",18
"Solirubrobacterales bacterium","Xixon20",32
"Solirubrobacterales bacterium","Xixon22",35
"Solirubrobacterales bacterium","Xixon25",12
"Solirubrobacterales bacterium","Xixon27",21
"Solirubrobacterales bacterium","Xixon29",15
"Solitalea koreensis","Xixon01",107
"Solitalea koreensis","Xixon04",44
"Solitalea koreensis","Xixon05",32
"Solitalea koreensis","Xixon06",59
"Solitalea koreensis","Xixon07",48
"Solitalea koreensis","Xixon08",74
"Solitalea koreensis","Xixon09",37
"Solitalea koreensis","Xixon10",67
"Solitalea koreensis","Xixon11",32
"Solitalea koreensis","Xixon12",34
"Solitalea koreensis","Xixon13",20
"Solitalea koreensis","Xixon14",73
"Solitalea koreensis","Xixon15",37
"Solitalea koreensis","Xixon16",22
"Solitalea koreensis","Xixon17",77
"Solitalea koreensis","Xixon18",85
"Solitalea koreensis","Xixon19",57
"Solitalea koreensis","Xixon21",20
"Solitalea koreensis","Xixon22",15
"Solitalea koreensis","Xixon23",12
